,word1,word2
0,places,visit
1,all,customers
2,all,table
3,named,table
4,customers,table
5,salaries,table
6,captures,essence
7,uppercase,lowercase
8,satisfaction,survey
9,table,salary
10,uppercase,password
11,lowercase,password
12,special,password
13,cream,ice
14,rate,scale
15,customers,orders
16,table,orders
17,credit,card
18,all,letters
19,eating,health
20,arithmetic,sequence
21,remember,mnemonic
22,table,multiplication
23,email,professor
24,conserve,ways
25,unsupervised,supervised
26,facial,recognition
27,table,periodic
28,remainder,divided
29,tourist,attractions
30,rap,verse
31,explanation,detailed
32,scheme,rhyme
33,base,height
34,science,fiction
35,amount,money
36,method,scientific
37,friends,discussing
38,table,average
39,email,introducing
40,height,cm
41,fossil,fuels
42,root,square
43,linear,regression
44,app,helps
45,strengths,weaknesses
46,width,rectangle
47,tree,decision
48,table,highest
49,lowest,highest
50,presentation,outline
51,behind,idea
52,girl,young
53,trip,camping
54,needed,ingredients
55,all,names
56,all,prime
57,all,return
58,root,return
59,ways,save
60,money,save
61,stay,during
62,passes,through
63,go,would
64,happen,would
65,all,values
66,introducing,yourself
67,all,print
68,logo,design
69,website,design
70,all,integers
71,returns,takes
72,remainder,when
73,divided,when
74,time,when
75,would,when
76,say,know
77,allows,users
78,all,script
79,bash,script
80,say,try
81,know,try
82,planets,solar
83,square,side
84,influence,factors
85,rate,interest
86,divisor,greatest
87,all,columns
88,named,columns
89,customers,columns
90,table,columns
91,orders,columns
92,average,columns
93,physical,mental
94,health,mental
95,mnemonic,device
96,literary,device
97,fill,blank
98,convolutional,neural
99,networks,neural
100,network,neural
101,email,subject
102,lives,our
103,daily,our
104,solar,our
105,considerations,ethical
106,keeping,while
107,maintaining,while
108,preserving,while
109,vision,computer
110,science,computer
111,say,pieces
112,know,pieces
113,try,pieces
114,would,appropriate
115,when,appropriate
116,marks,punctuation
117,all,real
118,chart,flow
119,effect,cause
120,endangered,species
121,animal,species
122,pieces,advice
123,compares,analogy
124,circle,radius
125,public,transportation
126,all,after
127,lyric,song
128,cons,pros
129,man,his
130,he,his
131,all,x
132,y,x
133,values,x
134,real,x
135,faced,challenges
136,party,birthday
