,words,idf
2399,zoo,8.517193191416238
1990,kit,8.517193191416238
1397,expensive,8.517193191416238
1947,improvements,8.517193191416238
1948,progress,8.517193191416238
1950,circumference,8.517193191416238
1387,linked,8.517193191416238
1952,supporting,8.517193191416238
1382,consumer,8.517193191416238
1956,versus,8.517193191416238
1380,fitness,8.517193191416238
1377,combination,8.517193191416238
1963,dilemma,8.517193191416238
801,care,8.517193191416238
1965,chair,8.517193191416238
1362,printer,8.517193191416238
1358,convince,8.517193191416238
807,knowledge,8.517193191416238
1970,visited,8.517193191416238
1971,vote,8.517193191416238
366,logo,8.517193191416238
1972,convolutional,8.517193191416238
1973,sign,8.517193191416238
1976,unexpected,8.517193191416238
1353,origin,8.517193191416238
1979,rolling,8.517193191416238
1980,segmentation,8.517193191416238
1349,synopsis,8.517193191416238
1982,struggling,8.517193191416238
1983,programs,8.517193191416238
1347,answers,8.517193191416238
1944,sheet,8.517193191416238
1942,conference,8.517193191416238
1399,disease,8.517193191416238
1440,patient,8.517193191416238
1881,empty,8.517193191416238
744,guess,8.517193191416238
1463,street,8.517193191416238
1462,45,8.517193191416238
750,3x,8.517193191416238
428,objects,8.517193191416238
1456,parameters,8.517193191416238
1454,featuring,8.517193191416238
1451,effectively,8.517193191416238
424,earth,8.517193191416238
1894,followed,8.517193191416238
1444,logic,8.517193191416238
1899,calendar,8.517193191416238
1903,ecosystem,8.517193191416238
1407,investment,8.517193191416238
1906,presented,8.517193191416238
1907,discussed,8.517193191416238
1908,center,8.517193191416238
1911,comes,8.517193191416238
1913,proposal,8.517193191416238
406,e,8.517193191416238
770,star,8.517193191416238
1918,hosting,8.517193191416238
1429,17,8.517193191416238
1427,belonging,8.517193191416238
1425,call,8.517193191416238
1422,remote,8.517193191416238
1933,yet,8.517193191416238
1988,editing,8.517193191416238
1991,kilometers,8.517193191416238
1877,increased,8.517193191416238
1993,raining,8.517193191416238
2049,evening,8.517193191416238
2050,gaming,8.517193191416238
1303,14,8.517193191416238
2052,drinking,8.517193191416238
2053,boss,8.517193191416238
2054,resource,8.517193191416238
852,cars,8.517193191416238
2056,spend,8.517193191416238
853,america,8.517193191416238
2058,agriculture,8.517193191416238
2059,spent,8.517193191416238
1301,tag,8.517193191416238
2061,twice,8.517193191416238
286,french,8.517193191416238
2071,liquid,8.517193191416238
1293,crisis,8.517193191416238
2076,answered,8.517193191416238
2078,leave,8.517193191416238
2081,36,8.517193191416238
2083,critique,8.517193191416238
2085,voting,8.517193191416238
2087,calculating,8.517193191416238
1281,eggs,8.517193191416238
1279,foreign,8.517193191416238
2091,satisfies,8.517193191416238
2093,podcast,8.517193191416238
866,done,8.517193191416238
2098,exercising,8.517193191416238
2099,practical,8.517193191416238
1305,invent,8.517193191416238
2045,adapt,8.517193191416238
303,warming,8.517193191416238
1334,costs,8.517193191416238
346,paraphrase,8.517193191416238
1996,regions,8.517193191416238
1345,watch,8.517193191416238
1997,raise,8.517193191416238
1999,adults,8.517193191416238
819,happened,8.517193191416238
823,say,8.517193191416238
2006,appreciation,8.517193191416238
2007,motivation,8.517193191416238
2008,dice,8.517193191416238
331,m,8.517193191416238
2009,liner,8.517193191416238
2010,resolution,8.517193191416238
2012,gatsby,8.517193191416238
1307,materials,8.517193191416238
2013,debugging,8.517193191416238
1331,entertainment,8.517193191416238
2020,4th,8.517193191416238
1319,track,8.517193191416238
1317,option,8.517193191416238
1315,ball,8.517193191416238
2033,argumentative,8.517193191416238
1313,focus,8.517193191416238
2035,coin,8.517193191416238
2036,mineral,8.517193191416238
2038,couplet,8.517193191416238
1309,summarise,8.517193191416238
1648,assignment,8.517193191416238
1879,included,8.517193191416238
1469,spring,8.517193191416238
1270,formed,8.517193191416238
1770,plane,8.517193191416238
1591,meditation,8.517193191416238
1589,typically,8.517193191416238
1588,picnic,8.517193191416238
1586,angles,8.517193191416238
1584,sector,8.517193191416238
1581,uppercase,8.517193191416238
1724,styles,8.517193191416238
1728,speak,8.517193191416238
1734,populous,8.517193191416238
1736,wedding,8.517193191416238
1738,lengths,8.517193191416238
1568,thank,8.517193191416238
1740,disasters,8.517193191416238
1567,entry,8.517193191416238
1742,accurately,8.517193191416238
1565,talk,8.517193191416238
1749,independent,8.517193191416238
1751,dioxide,8.517193191416238
540,workplace,8.517193191416238
1752,presidents,8.517193191416238
1754,irony,8.517193191416238
1555,mathematics,8.517193191416238
1553,urban,8.517193191416238
1760,seconds,8.517193191416238
1762,brave,8.517193191416238
1545,roll,8.517193191416238
1765,sub,8.517193191416238
681,much,8.517193191416238
527,open,8.517193191416238
1717,community,8.517193191416238
1598,television,8.517193191416238
1708,compress,8.517193191416238
594,protagonist,8.517193191416238
1652,discovers,8.517193191416238
1656,balance,8.517193191416238
1644,highlight,8.517193191416238
1640,because,8.517193191416238
1638,innovation,8.517193191416238
1635,female,8.517193191416238
1634,choices,8.517193191416238
1672,machines,8.517193191416238
1633,modified,8.517193191416238
1674,exclamatory,8.517193191416238
1631,bridge,8.517193191416238
1677,suggestions,8.517193191416238
1678,universe,8.517193191416238
1624,becoming,8.517193191416238
1600,critical,8.517193191416238
1622,king,8.517193191416238
1689,conjunction,8.517193191416238
1620,layout,8.517193191416238
1619,democracy,8.517193191416238
1692,kinds,8.517193191416238
