,words,idf
1671,idioms,8.294049640102028
605,big,8.294049640102028
1714,joe,8.294049640102028
1097,dragon,8.294049640102028
1304,sunny,8.294049640102028
1675,central,8.294049640102028
1674,commas,8.294049640102028
1670,wildlife,8.294049640102028
1667,waves,8.294049640102028
1666,depth,8.294049640102028
1305,doing,8.294049640102028
1141,various,8.294049640102028
1140,border,8.294049640102028
1659,talks,8.294049640102028
1658,comic,8.294049640102028
1657,princess,8.294049640102028
1656,jingle,8.294049640102028
1135,visiting,8.294049640102028
1134,teach,8.294049640102028
1651,deal,8.294049640102028
1650,decreasing,8.294049640102028
1715,sweet,8.294049640102028
1261,ate,8.294049640102028
1095,debate,8.294049640102028
1718,washington,8.294049640102028
1769,sphere,8.294049640102028
1768,repetition,8.294049640102028
1765,mountains,8.294049640102028
1764,neither,8.294049640102028
900,smart,8.294049640102028
1755,declaration,8.294049640102028
1754,exponential,8.294049640102028
901,pitch,8.294049640102028
124,us,8.294049640102028
125,tense,8.294049640102028
604,antonym,8.294049640102028
1741,iron,8.294049640102028
1740,250,8.294049640102028
1260,startup,8.294049640102028
1725,21st,8.294049640102028
1724,elderly,8.294049640102028
1721,cultures,8.294049640102028
1720,begin,8.294049640102028
1719,typos,8.294049640102028
1320,property,8.294049640102028
1641,dimensional,8.294049640102028
1640,measurement,8.294049640102028
1321,accurately,8.294049640102028
1034,sells,8.294049640102028
1366,pay,8.294049640102028
1367,happens,8.294049640102028
1035,resolve,8.294049640102028
1038,fitness,8.294049640102028
1039,syllables,8.294049640102028
1374,rubik,8.294049640102028
1375,los,8.294049640102028
1050,cut,8.294049640102028
1051,expensive,8.294049640102028
1493,equipment,8.294049640102028
1492,smoking,8.294049640102028
1062,merge,8.294049640102028
1063,lot,8.294049640102028
1444,cards,8.294049640102028
1445,moving,8.294049640102028
1461,presented,8.294049640102028
1460,games,8.294049640102028
1446,classical,8.294049640102028
1538,exist,8.294049640102028
1539,protection,8.294049640102028
1542,choosing,8.294049640102028
399,discussing,8.294049640102028
984,rain,8.294049640102028
1430,2y,8.294049640102028
1619,butter,8.294049640102028
1618,satisfies,8.294049640102028
985,crisis,8.294049640102028
1431,specified,8.294049640102028
1615,voting,8.294049640102028
1614,assuming,8.294049640102028
1016,evolution,8.294049640102028
1543,spreadsheet,8.294049640102028
1017,baking,8.294049640102028
1020,origin,8.294049640102028
1021,habits,8.294049640102028
398,plant,8.294049640102028
1028,powerful,8.294049640102028
1354,possessive,8.294049640102028
1355,regex,8.294049640102028
1029,adverbs,8.294049640102028
1094,secure,8.294049640102028
1447,evil,8.294049640102028
1819,schema,8.294049640102028
863,target,8.294049640102028
1215,likes,8.294049640102028
1843,owner,8.294049640102028
1842,creates,8.294049640102028
1818,ability,8.294049640102028
1228,democracy,8.294049640102028
1096,featuring,8.294049640102028
1402,heading,8.294049640102028
1229,layout,8.294049640102028
1862,valuable,8.294049640102028
1863,lonely,8.294049640102028
1787,streaming,8.294049640102028
1786,grilled,8.294049640102028
596,apples,8.294049640102028
1214,critical,8.294049640102028
1403,imagery,8.294049640102028
1417,teams,8.294049640102028
1812,electrical,8.294049640102028
597,phrases,8.294049640102028
1813,applies,8.294049640102028
1416,symbols,8.294049640102028
1782,eaten,8.294049640102028
862,separated,8.294049640102028
1783,weeks,8.294049640102028
825,jobs,7.600902459542082
1840,evaluating,7.600902459542082
1836,editor,7.600902459542082
1837,affirmative,7.600902459542082
1575,meme,7.600902459542082
1574,couplet,7.600902459542082
1838,deck,7.600902459542082
1839,brands,7.600902459542082
1346,plane,7.600902459542082
1429,dna,7.600902459542082
1841,protecting,7.600902459542082
1332,lower,7.600902459542082
1563,inside,7.600902459542082
1562,unsupervised,7.600902459542082
1347,iot,7.600902459542082
1206,angles,7.600902459542082
1207,sonnet,7.600902459542082
1428,die,7.600902459542082
1333,amendment,7.600902459542082
243,assistant,7.600902459542082
997,japan,7.600902459542082
996,focus,7.600902459542082
1324,route,7.600902459542082
1325,emphasize,7.600902459542082
1635,oxygen,7.600902459542082
856,printing,7.600902459542082
1634,bolded,7.600902459542082
1633,conduct,7.600902459542082
1632,3y,7.600902459542082
230,children,7.600902459542082
231,opinion,7.600902459542082
392,down,7.600902459542082
810,outdoor,7.600902459542082
1623,theories,7.600902459542082
1622,relevance,7.600902459542082
1830,producing,7.600902459542082
1780,statistical,7.600902459542082
242,app,7.600902459542082
824,international,7.600902459542082
393,love,7.600902459542082
1831,interior,7.600902459542082
711,hello,7.600902459542082
1410,recommendations,7.600902459542082
1502,circumference,7.600902459542082
1501,pseudocode,7.600902459542082
1500,progress,7.600902459542082
586,languages,7.600902459542082
1864,wearing,7.600902459542082
649,whose,7.600902459542082
1106,defined,7.600902459542082
1865,reliable,7.600902459542082
1068,alternate,7.600902459542082
1473,psychology,7.600902459542082
1472,outcomes,7.600902459542082
1069,training,7.600902459542082
1467,generated,7.600902459542082
1466,proposal,7.600902459542082
1187,exactly,7.600902459542082
1404,restaurants,7.600902459542082
813,requires,7.600902459542082
814,syntax,7.600902459542082
1080,singular,7.600902459542082
1081,wall,7.600902459542082
815,introduce,7.600902459542082
1503,synthesize,7.600902459542082
1411,url,7.600902459542082
710,visualization,7.600902459542082
648,happened,7.600902459542082
1087,complexity,7.600902459542082
1545,caesar,7.600902459542082
1544,incorporates,7.600902459542082
811,mammals,7.600902459542082
1541,raise,7.600902459542082
1540,usually,7.600902459542082
1537,manual,7.600902459542082
1536,raining,7.600902459542082
1535,kilometers,7.600902459542082
1534,kit,7.600902459542082
1852,expect,7.600902459542082
1853,heat,7.600902459542082
1527,shorten,7.600902459542082
1526,struggling,7.600902459542082
1525,segmentation,7.600902459542082
1524,rolling,7.600902459542082
1523,fundamental,7.600902459542082
1522,unexpected,7.600902459542082
1440,objective,7.600902459542082
1441,bob,7.600902459542082
1107,allows,7.600902459542082
812,literature,7.600902459542082
1405,walked,7.600902459542082
1136,40,7.600902459542082
1763,none,7.600902459542082
1762,relate,7.600902459542082
892,destination,7.600902459542082
893,achieve,7.600902459542082
1169,gold,7.600902459542082
1168,link,7.600902459542082
1258,aspects,7.600902459542082
1747,stranger,7.600902459542082
1746,composition,7.600902459542082
933,represents,7.600902459542082
1156,preserving,7.600902459542082
1157,japanese,7.600902459542082
932,little,7.600902459542082
1790,calories,7.600902459542082
1791,jazz,7.600902459542082
1735,400,7.600902459542082
1734,focused,7.600902459542082
1259,balance,7.600902459542082
1729,strawberry,7.600902459542082
587,flow,7.600902459542082
1728,squared,7.600902459542082
1226,fi,7.600902459542082
1797,frequently,7.600902459542082
1796,databases,7.600902459542082
1253,quantity,7.600902459542082
1227,mars,7.600902459542082
1767,gather,7.600902459542082
1302,h,7.600902459542082
1086,motion,7.600902459542082
199,gpt,7.600902459542082
1137,industrial,7.600902459542082
1303,relational,7.600902459542082
1781,nice,7.600902459542082
857,now,7.600902459542082
1142,hyperbole,7.600902459542082
1186,mask,7.600902459542082
1143,california,7.600902459542082
1766,silver,7.600902459542082
1252,assignment,7.600902459542082
198,formal,7.600902459542082
675,engine,7.195437351433918
1792,centered,7.195437351433918
674,perform,7.195437351433918
1775,airplane,7.195437351433918
909,recently,7.195437351433918
1856,newsletter,7.195437351433918
1077,ensure,7.195437351433918
1774,traveler,7.195437351433918
1857,perpendicular,7.195437351433918
1739,emphasizes,7.195437351433918
85,book,7.195437351433918
1738,prove,7.195437351433918
1793,liters,7.195437351433918
1745,towards,7.195437351433918
1731,strip,7.195437351433918
1730,stack,7.195437351433918
1365,expressions,7.195437351433918
443,together,7.195437351433918
1727,programmer,7.195437351433918
442,2x,7.195437351433918
1726,superhero,7.195437351433918
1851,individuals,7.195437351433918
1744,structures,7.195437351433918
1511,baby,7.195437351433918
1771,gerund,7.195437351433918
908,fallacy,7.195437351433918
1383,brain,7.195437351433918
1382,ends,7.195437351433918
884,nums,7.195437351433918
885,speaking,7.195437351433918
1385,kill,7.195437351433918
84,out,7.195437351433918
1055,client,7.195437351433918
1488,took,7.195437351433918
1489,monthly,7.195437351433918
1490,pen,7.195437351433918
1491,door,7.195437351433918
1076,reviews,7.195437351433918
1054,spell,7.195437351433918
1850,recycled,7.195437351433918
701,girl,7.195437351433918
1499,mockingbird,7.195437351433918
1749,cognitive,7.195437351433918
1420,disadvantage,7.195437351433918
1748,excellent,7.195437351433918
1504,supporting,7.195437351433918
1505,romance,7.195437351433918
1506,inventory,7.195437351433918
1507,versus,7.195437351433918
1770,viruses,7.195437351433918
1175,5th,7.195437351433918
1510,parents,7.195437351433918
1384,close,7.195437351433918
700,formula,7.195437351433918
1498,improvements,7.195437351433918
1177,entrepreneur,7.195437351433918
1723,percent,7.195437351433918
993,notation,7.195437351433918
