;The lazy Googler;The lazy creater;The lazy Editor;Other
0;what;create;find;suggest
1;explain;write;identify;classify
2;why;make;rewrite;give
3;who;word;edit;article
4;meaning;story;change;list
5;news;text;convert;describe
6;definition;generate;improve;name
7;translate;statement;grammar;provide
8;facts;phrase;review;example
9;search;construct;replace;compare
10;synonym;poem;rearrange;correct
11;;compose;;paragraph
12;;develope;;analyze
13;;essay;;creative
14;;email;;description
15;;slogan;;calculate
16;;;;determine
17;;;;code
18;;;;categorize
19;;;;recipe
20;;;;examples
21;;;;program
22;;;;metaphor
23;;;;summary
24;;;;tips
25;;;;outline
26;;;;ideas
27;;;;argument
28;;;;select
29;;;;solution
30;;;;evalueate
31;;;;predict
32;;;;python
33;;;;programmiing
34;;;;sort
35;;;;choose
36;;;;Brainstorm
37;;;;characteristics
38;;;;opinion
39;;;;describing
40;;;;message
41;;;;
42;;;;
43;;;;
44;;;;
45;;;;
46;;;;
47;;;;
48;;;;
49;;;;
50;;;;
51;;;;
52;;;;
53;;;;
54;;;;
55;;;;
56;;;;
57;;;;
58;;;;
59;;;;
60;;;;
61;;;;
62;;;;
63;;;;
64;;;;
